coaster_name,Length,Speed,Status,Manufacturer,Model,Height,Lift/launch system,G-force,Designer,Track layout,Type_Main,opening_date_clean,speed_mph,height_ft,Inversions_clean
Steel Force,"5,600 ft (1,700 m)",75 mph (121 km/h),Operating,D. H. Morgan Manufacturing,Hyper Coaster,200 ft (61 m),lift,3.4,Steve Okamoto,Out and Back,Steel,1997-05-30,75.0,,0
Tonnerre de Zeus,"4,044 ft (1,233 m)",52 mph (84 km/h),Operating,Custom Coasters International,,98 ft (30 m),lift,,"Dennis McNulty, Larry Bill",,Wood,1997-01-01,52.0,,0
Excalibur (Funtown Splashtown USA),"2,700 ft (820 m)",55 mph (89 km/h),Operating,Custom Coasters International,,100 ft (30 m),lift,,"Dennis McNulty, Larry Bill",,Wood,1998-01-01,55.0,,0
GhostRider (roller coaster),"4,533 ft (1,382 m)",56 mph (90 km/h),Operating,Custom Coasters International,,118 ft (36 m),lift,3.1,,Double Out and Back,Wood,1998-12-08,56.0,,0
Great Bear (roller coaster),"2,800 ft (850 m)",58 mph (93 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,90 ft (27 m),lift,,Werner Stengel,,Steel,1998-05-23,58.0,,4
Journey to Atlantis,,,Operating,Mack Rides,Water Coaster,,lift,,,Water Coaster,Steel,1998-04-17,,,0
Mamba (roller coaster),"5,600 ft (1,700 m)",75 mph (121 km/h),Operating,D. H. Morgan Manufacturing,Hypercoaster,205 ft (62 m),lift,3.5,Steve Okamoto,Out and Back,Steel,1998-04-18,75.0,,0
Oblivion (roller coaster),"373 m (1,224 ft)",110 km/h (68 mph),Operating,Bolliger & Mabillard,Dive Coaster,19.8 m (65 ft),lift,4.5,Werner Stengel,,Steel,1998-03-14,68.4,65.0,0
Rampage (roller coaster),"3,500 ft (1,100 m)",56 mph (90 km/h),Operating,Custom Coasters International,,120 ft (37 m),lift,,"Larry Bill, Dennis McNulty",Terrain twister,Wood,1998-05-23,56.0,,0
Rattlesnake (roller coaster),"1,213 ft (370 m)",28 mph (45 km/h),Operating,Maurer AG,Wilde Maus Classic,49.25 ft (15.01 m),lift,,Werner Stengel,,Steel,1998-01-01,28.0,,0
The Riddler's Revenge,"4,370 ft (1,330 m)",65 mph (105 km/h),Operating,Bolliger & Mabillard,Stand-Up Coaster,156 ft (48 m),lift,4.2,Werner Stengel,,Steel,1998-04-04,65.0,,6
Roller Coaster (Dam Sen Park),"500 m (1,600 ft)",70 km/h (43 mph),Operating,Hebei Zhongye Metallurgical Equipment,,24 m (79 ft),lift,3.8,,,Steel,1998-01-01,43.5,78.7,3
Shivering Timbers,"5,383 ft (1,641 m)",57 mph (92 km/h),Operating,Custom Coasters International,,122 ft (37 m),lift,3.8 g,,Out and Back,Wood,1998-01-01,57.0,,0
Storm Chaser (roller coaster),"2,744 ft (836 m)",52 mph (84 km/h),Operating,Rocky Mountain Construction,I-Box – Custom,100 ft (30 m),lift,3.8,Alan Schilke,,Steel,2016-04-30,52.0,,3
Vogel Rok,"2,296 ft (700 m)",40 mph (64 km/h),Operating,Vekoma,Custom MK-900,82 ft (25 m),lift,3.5,Ton van de Ven,,Steel,1998-04-09,40.0,,0
Afterburn (roller coaster),"2,956 ft (901 m)",62 mph (100 km/h),Operating,Bolliger & Mabillard,Inverted Coaster – Custom,113 ft (34 m),lift,,Ing.-Büro Stengel GmbH,,Steel,1999-03-20,62.0,,6
Apollo's Chariot,"4,882 ft (1,488 m)",73 mph (117 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,170 ft (52 m),lift,4.1,Werner Stengel,Out and Back/Terrain,Steel,1999-03-30,73.0,,0
Bizarro (roller coaster),"3,985 ft (1,215 m)",61 mph (98 km/h),Operating,Bolliger & Mabillard,Floorless Coaster / Medusa,142 ft (43 m),lift,4,Werner Stengel,,Steel,1999-04-02,61.0,,7
Canyon Blaster (Six Flags Magic Mountain),,10 mph (16 km/h),Operating,E&F Miler Industries,Family Coasters/16ft Oval w/helix on left,8 ft (2.4 m),lift,1,Chance Rides,,Steel,1999-05-30,10.0,,0
Exterminator (roller coaster),"1,377.9 ft (420.0 m)",29.1 mph (46.8 km/h),Operating,Reverchon Industries,Spinning Coaster,42.7 ft (13.0 m),lift,2.5,Reverchon Industries,Wild Mouse,Steel,1999-04-18,29.1,,0
Georgia Scorcher,"3,000 ft (910 m)",54 mph (87 km/h),Operating,Bolliger & Mabillard,Stand-up Coaster,107 ft (33 m),lift,4,Werner Stengel,,Steel,1999-05-08,54.0,,2
Harley Quinn Crazy Train,"1,181.1 ft (360.0 m)",22.4 mph (36.0 km/h),Operating,Zierer,Tivoli - Large,26.3 ft (8.0 m),lift,,Werner Stengel,Double Figure Eight,Steel,1999-01-01,22.4,,0
The Howler,262.5 ft (80.0 m),16 mph (26 km/h),Operating,Zamperla,Family Gravity Coaster 80STD,13 ft (4.0 m),lift,,,Oval,Steel,1999-05-08,16.0,,0
The Incredible Hulk Coaster,"3,700 ft (1,100 m)",67 mph (108 km/h),Operating,Bolliger & Mabillard,Sitting Coaster – Custom,110 ft (34 m),launch,4,Werner Stengel,,Steel,1999-05-28,67.0,,7
The Joker's Jinx,"2,705 ft (824 m)",60 mph (97 km/h),Operating,Premier Rides,LIM Coaster,78.8 ft (24.0 m),launch,4.5,Werner Stengel,,Steel,1999-05-08,60.0,,4
Lil' Devil Coaster,262.5 ft (80.0 m),,Operating,Zamperla,Family Gravity Coaster 80STD,13 ft (4.0 m),lift,,,Single Helix (center),Steel,1999-01-01,,,0
Limit (roller coaster),"2,260.5 ft (689.0 m)",49.7 mph (80.0 km/h),Operating,Vekoma,SLC (689m Standard),109.3 ft (33.3 m),lift,,,,Steel,1999-01-01,49.7,,5
Mad Mouse (Michigan's Adventure),"1,268 ft (386 m)",33 mph (53 km/h),Operating,Arrow Dynamics,Mad Mouse,68 ft (21 m),lift,,,Wild Mouse,Steel,1999-08-07,33.0,,0
Mad Mouse (Valleyfair),"1,257 ft (383 m)",30 mph (48 km/h),Operating,Arrow Dynamics,Mad Mouse,50 ft (15 m),lift,,,Wild Mouse,Steel,1999-05-08,30.0,,0
Millennium Roller Coaster,"2,736 ft (834 m)",56 mph (90 km/h),Operating,Vekoma,Custom MK-1200,150 ft (46 m),lift,,,,Steel,1999-05-22,56.0,,3
Montezum,"1,030 m (3,380 ft)",103 km/h (64 mph),Operating,Roller Coaster Corporation of America,,,lift,,,,Wood,1999-01-01,64.0,,0
Poltergeist (roller coaster),"2,705 ft (824 m)",60 mph (97 km/h),Operating,Premier Rides,LIM Coaster,78.8 ft (24.0 m),launch,4.5,Werner Stengel,,Steel,1999-05-28,60.0,,4
Raging Bull (roller coaster),"5,057 ft (1,541 m)",73 mph (117 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,202 ft (62 m),lift,,Werner Stengel,,Steel,1999-05-01,73.0,,0
Road Runner Express (Six Flags Discovery Kingdom),262.5 ft (80.0 m),,Operating,Zamperla,Family Gravity Coaster 80STD,13 ft (4.0 m),lift,,,Single Helix (center),Steel,1999-01-01,,,0
Rollie's Coaster,,27 mph (43 km/h),Operating,Pinfari,Zyklon,,lift,,F.lli Pinfari S.r.l,Continual,Steel,1999-01-01,27.0,,0
Tennessee Tornado,"2,682 ft (817 m)",63 mph (101 km/h),Operating,Arrow Dynamics,Custom Looping,163 ft (50 m),lift,3.7,Alan Schilke,Terrain,Steel,1999-04-17,63.0,,3
Tremors (roller coaster),"3,158 ft (963 m)",50 mph (80 km/h),Operating,Custom Coasters International,,85 ft (26 m),lift,2.5,"Alison Brittle, Eden Carpenter, and Gary Norton",Out and Back/Twister,Wood,1999-05-15,50.0,,0
Twisted Typhoon,"2,260.5 ft (689.0 m)",49.7 mph (80.0 km/h),Operating,Vekoma,Suspended Looping Coaster (689m Standard),109.3 ft (33.3 m),lift,,,,Steel,1999-05-08,49.7,,5
Twister (Knoebels Amusement Resort),"3,900 ft (1,200 m)",51 mph (82 km/h),Operating,Knoebels Amusement Resort,,101.5 ft (30.9 m),lift,,"John Fetterman, 1999; from John Allen's 1964 ""Mister Twister"" design",Twister,Wood,1999-07-24,51.0,,0
Woody Woodpecker's Nuthouse Coaster,679.2 ft (207.0 m),21.7 mph (34.9 km/h),Operating,Vekoma,Junior Coaster,27.9 ft (8.5 m),lift,,Universal Creative,,Steel,1999-03-13,21.7,,0
Batman: The Ride (Six Flags México),"2,260.5 ft (689.0 m)",49.7 mph (80.0 km/h),Operating,Vekoma,,109.3 ft (33.3 m),lift,,,,Steel,2000-04-14,49.7,,5
Boulder Dash (roller coaster),"4,725 ft (1,440 m)",60 mph (97 km/h),Operating,Custom Coasters International,,110 ft (34 m),lift,,Dennis McNultyLarry Bill,Terrain,Wood,2000-05-21,60.0,,0
Diving Machine G5,"1,250 ft (380 m)",68.3 mph (109.9 km/h),Operating,Bolliger & Mabillard,Dive Coaster,,lift,5,Werner Stengel,,Steel,2000-03-29,68.3,,0
Goliath (Six Flags Magic Mountain),"4,500 ft (1,400 m)",85 mph (137 km/h),Operating,Giovanola,Mega Coaster,235 ft (72 m),lift,,Werner Stengel,,Steel,2000-02-11,85.0,,0
Katun (roller coaster),"3,937 ft (1,200 m)",65 mph (105 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,164.1 ft (50.0 m),lift,4,Werner Stengel,,Steel,2000-04-01,65.0,,6
Kraken (roller coaster),"4,177 ft (1,273 m)",65 mph (105 km/h),Operating,Bolliger & Mabillard,Custom,153 ft (47 m),lift,3.9,Werner Stengel,,Steel,2000-06-01,65.0,,7
The Legend (roller coaster),"4,042 ft (1,232 m)",59 mph (95 km/h),Operating,Custom Coasters International,,99 ft (30 m),lift,,"Dennis McNulty, Larry Bill",Terrain,Wood,2000-05-06,59.0,,0
Medusa (Six Flags Discovery Kingdom),"3,937 ft (1,200 m)",65 mph (105 km/h),Operating,Bolliger & Mabillard,Floorless,150 ft (46 m),lift,4.5,Werner Stengel,,Steel,2000-03-18,65.0,,7
Millennium Force,"6,595 ft (2,010 m)",93 mph (150 km/h),Operating,Intamin,Giga Coaster,310 ft (94 m),lift,4.5,Werner Stengel,Out and back,Steel,2000-05-13,93.0,,0
Speed of Sound (roller coaster),935 ft (285 m),47 mph (76 km/h),Operating,Vekoma,Boomerang,116.5 ft (35.5 m),lift,5.2,Vekoma,,Steel,2000-04-22,47.0,,3
Steel Dragon 2000,"2,479 m (8,133 ft)",152.9 km/h (95.0 mph),Operating,D. H. Morgan Manufacturing,,97 m (318 ft),lift,,Steve Okamoto,Out and back,Steel,2000-08-01,95.0,318.2,0
Superman The Ride,"5,400 ft (1,600 m)",77 mph (124 km/h),Operating,Intamin,Mega Coaster,208 ft (63 m),lift,3.6,Werner Stengel,Out and BackTwister,Steel,2000-05-05,77.0,,0
Superman: Krypton Coaster,"4,025 ft (1,227 m)",70 mph (110 km/h),Operating,Bolliger & Mabillard,Floorless Coaster - Custom,168 ft (51 m),lift,3.8,Werner Stengel,Terrain,Steel,2000-03-11,70.0,,6
Untamed (Walibi Holland),3559.7 ft,57.2 mph,Operating,Rocky Mountain Construction,IBox Track,119.8 ft,lift,,Alan Schilke,,Steel,2019-07-01,57.2,,5
Xpress: Platform 13,"3,267 ft (996 m)",55.9 mph (90.0 km/h),Operating,Vekoma,LSM Launch,85 ft (26 m),launch,,,,Steel,2000-04-01,55.9,,3
Colossos - Kampf der Giganten,"1,344 m (4,409 ft)",110 km/h (68 mph),Operating,Intamin,Wooden Coaster (prefabricated track),50.0 m (164.0 ft),lift,"-1,5g and 4,5g",Werner Stengel,Out and back,Wood,2001-04-13,68.4,164.0,0
Flying Ace Aerial Chase,"1,122 ft (342 m)",26 mph (42 km/h),Operating,Vekoma,Suspended Family Coaster 342m,48.6 ft (14.8 m),lift,2.2,Peter Clerx,,Steel,2001-01-01,26.0,,0
Goofy's Sky School,"1,200 ft (370 m)",27 mph (43 km/h),Operating,Mack Rides,,55 ft (17 m),lift,,Walt Disney Imagineering,,Steel,2001-02-08,27.0,,0
Insane Speed,"2,677.17 ft (816.00 m)",53.4 mph (85.9 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,,lift,4,Werner Stengel,,Steel,2001-01-01,53.4,,4
Mulholland Madness,"1,200 ft (370 m)",27 mph (43 km/h),Operating,Mack Rides,,55 ft (17 m),lift,,Walt Disney Imagineering,,Steel,2001-02-08,27.0,,0
Nitro (Six Flags Great Adventure),"5,394 ft (1,644 m)",80 mph (130 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,230 ft (70 m),lift,4.3,,L-shaped Out and Back,Steel,2001-04-07,80.0,,0
Phantom's Revenge,"3,200 ft (980 m)",85 mph (137 km/h),Operating,D. H. Morgan Manufacturing,Hyper Coaster,160 ft (49 m),lift,3.5,,Terrain Mega Coaster,Steel,1991-05-10,85.0,,0
Silver Streak (Canada's Wonderland),"1,122.1 ft (342.0 m)",26 mph (42 km/h),Operating,Vekoma,Suspended Family Coaster,48.6 ft (14.8 m),lift,,,,Steel,2001-05-06,26.0,,0
Talon (roller coaster),"3,110 ft (950 m)",58 mph (93 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,135 ft (41 m),lift,4.5,Werner Stengel,,Steel,2001-05-05,58.0,,4
Thundercoaster (TusenFryd),"950 m (3,120 ft)",93 km/h (58 mph),Operating,Vekoma,,,lift,2.4,,,Wood,2001-05-01,57.8,,0
Titan (Six Flags Over Texas),"5,312 ft (1,619 m)",85 mph (137 km/h),Operating,Giovanola,Hyper Coaster,245 ft (75 m),lift,,Werner Stengel,Twister,Steel,2001-04-27,85.0,,0
Wildfire (Silver Dollar City),"3,073 ft (937 m)",66 mph (106 km/h),Operating,Bolliger & Mabillard,Sitting Coaster,120 ft (37 m),lift,3.6,Werner Stengel,Custom,Steel,2001-04-04,66.0,,5
Apple Zapple (Kings Dominion),"1,312 ft (400 m)",35 mph (56 km/h),Operating,Mack Rides,Wild Mouse / Large Park,52 ft (16 m),lift,,,Wild Mouse,Steel,2002-03-22,35.0,,0
Batman: The Dark Knight (roller coaster),"2,850 ft (870 m)",55 mph (89 km/h),Operating,Bolliger & Mabillard,Floorless Coaster[1],117.8 ft (35.9 m),lift,,,Twister,Steel,2002-04-20,55.0,,5
Batman: Arkham Asylum (roller coaster),,49.7 mph (80.0 km/h),Operating,Bolliger & Mabillard,Inverted Coaster (Batman),105 ft (32 m),lift,4.9,,,Steel,2002-04-06,49.7,,5
Colossus (Thorpe Park),"2,789 ft (850 m)",45 mph (72 km/h),Operating,Intamin,Multi Inversion Coaster,98 ft (30 m),lift,4.2,Werner Stengel,Intamin Tri Track,Steel,2002-03-22,45.0,,10
Escape from Madagascar,"342 m (1,122 ft)",41.8 km/h (26.0 mph),Operating,Vekoma,Suspended Family Coaster (342m),14.9 m (49 ft),lift,2.2,,,Steel,2002-12-26,26.0,48.9,0
Galactica (roller coaster),"840 m (2,760 ft)",75 km/h (47 mph),Operating,Bolliger & Mabillard,Flying Coaster,20 m (66 ft),lift,3.5,John Wardley,Custom,Steel,2002-03-16,46.6,65.6,2
Goliath (Walibi Holland),"1,214 m (3,983 ft)",106 km/h (66 mph),Operating,Intamin,,47.17 m (154.8 ft),lift,,Ing.-Büro Stengel GmbH,,Steel,2002-03-29,65.9,154.8,0
Jubilee Odyssey,"2,924 ft (891 m)",63 mph (101 km/h),Operating,Vekoma,SLC (Custom),167 ft (51 m),lift,4.8,,,Steel,2002-05-23,63.0,,5
Lost Coaster of Superstition Mountain,"1,400 ft (430 m)",20 mph (32 km/h),Operating,Custom Coasters International,,35 ft (11 m),lift,,,,Wood,2002-06-06,20.0,,0
Ricochet (Carowinds),"1,214 ft (370 m)",28 mph (45 km/h),Operating,Mack Rides,,45.9 ft (14.0 m),lift,,,,Steel,2002-03-23,28.0,,0
Rugrats Runaway Reptar (Dreamworld),"342 m (1,122 ft)",41.8 km/h (26.0 mph),Operating,Vekoma,Suspended Family Coaster (342m),14.9 m (49 ft),lift,2.2,,,Steel,2002-12-26,26.0,48.9,0
Scooby-Doo Spooky Coaster,"530 m (1,740 ft)",44.6 km/h (27.7 mph),Operating,Mack Rides,Custom,17 m (56 ft),lift,2.4,Warner Bros. Movie World,,Steel,2002-06-17,27.7,55.8,0
Silver Star (roller coaster),"1,620 m (5,310 ft)",127 km/h (79 mph),Operating,Bolliger & Mabillard,Hypercoaster,73 m (240 ft),lift,4,,Out and Back,Steel,2002-03-23,78.9,239.5,0
Le Vampire,"2,700.2 ft (823.0 m)",50 mph (80 km/h),Operating,Bolliger & Mabillard,Inverted Coaster / Batman,105 ft (32 m),lift,4,,,Steel,2002-05-18,50.0,,5
Winja's Fear & Force,"1,345.17 ft (410.0 m)",37.25 mph (59.9 km/h),Operating,Maurer AG,Xtended SC 3000,57.08 ft (17.4 m),lift,,Werner Stengel,,Steel,2002-03-30,37.2,,0
X2 (roller coaster),"3,610 ft (1,100 m)",76 mph (122 km/h),Operating,Arrow Dynamics,4th Dimension Coaster,175 ft (53 m),lift,4Gs,Alan SchilkeRenato Manzoni,,Steel,2002-01-12,76.0,,2
Xcelerator,"2,202 ft (671 m)",82 mph (132 km/h),Operating,Intamin,Accelerator Coaster,205 ft (62 m),launch,,Werner Stengel,Dual Overbank Figure 8,Steel,2002-06-22,82.0,,0
Balder (roller coaster),"1,070 m (3,510 ft)",90 km/h (56 mph),Operating,Intamin,Wooden Coaster (Prefabricated Track),36 m (118 ft),lift,,Ingenieurbüro Stengel GmbH,,Wood,2003-04-12,55.9,118.1,0
Kiddy Hawk,"1,122 ft (342 m)",26 mph (42 km/h),Operating,Vekoma,Suspended Family Coaster 342m,49 ft (15 m),lift,2.2,,,Steel,2003-03-22,26.0,,0
Nemesis Inferno,"750 m (2,460 ft)",80 km/h (50 mph),Operating,Bolliger & Mabillard,Inverted Coaster – Custom,29 m (95 ft),lift,5,John Wardley & Werner Stengel & Jordan Forster,,Steel,2003-04-05,49.7,95.1,4
Scream (roller coaster),"3,985 ft (1,215 m)",63 mph (101 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,150 ft (46 m),lift,4[1],Werner Stengel,,Steel,2003-04-12,63.0,,7
Steel Venom (Valleyfair),630 ft (190 m),68 mph (109 km/h),Operating,Intamin,Twisted Impulse Coaster,185 ft (56 m),launch,,,,Steel,2003-05-17,68.0,,0
Thunder Dolphin,"1,066 m (3,497 ft)",130 km/h (81 mph),Operating,Intamin,Mega Coaster,80 m (260 ft),lift,4.4,Werner Stengel,,Steel,2003-05-01,80.8,262.5,0
Dæmonen,"564 m (1,850 ft)",77 km/h (48 mph),Operating,Bolliger & Mabillard,Floorless Coaster,28 m (92 ft),lift,4,,Twister,Steel,2004-04-16,47.8,91.9,3
Dragon's Fury (roller coaster),"1,706 ft (520 m)",,Operating,Maurer AG,Xtended SC 3000,50.8 ft (15.5 m),lift,,,,Steel,2004-03-27,,,0
Fairly Odd Coaster,"1,345 ft (410 m)",31 mph (50 km/h),Operating,Gerstlauer,Spinning Coaster Model 420/4,54 ft (16 m),lift,3.2,Werner Stengel,Twister,Steel,2004-03-15,31.0,,0
Hell Cat,"2,602 ft (793 m)",56 mph (90 km/h),Operating,S&S – Sansei Technologies,Wooden Coaster,110 ft (34 m),lift,,,Out and Back Helix and Twister,Wood,2004-09-18,56.0,,0
Journey to Atlantis,,,Operating,Mack Rides,Water Coaster,,lift,,,Water Coaster,Steel,1998-04-17,,,0
Shock Wave (Brean Leisure Park),,,Operating,Pinfari,TL59,,lift,,,,Steel,2004-01-01,,,1
Silver Bullet (Knott's Berry Farm),"3,125 ft (952 m)",55 mph (89 km/h),Operating,Bolliger & Mabillard,Inverted coaster,146 ft (45 m),lift,3,,,Steel,2004-12-07,55.0,,6
Spinball Whizzer,"470 m (1,540 ft)",60 km/h (37 mph),Operating,Maurer AG,SC 2200[1],17 m (56 ft),lift,,,,Steel,2004-03-27,37.3,55.8,0
Spinning Dragons,"1,345 ft (410 m)",31 mph (50 km/h),Operating,Gerstlauer,,54 ft (16 m),lift,,,,Steel,2004-04-17,31.0,,0
Storm Runner,"2,600 ft (790 m)",75 mph (121 km/h),Operating,Intamin,Accelerator Coaster,150 ft (46 m),launch,5,Werner Stengel,,Steel,2004-05-08,75.0,,3
The Gauntlet (roller coaster),"2,260.0 ft (688.8 m)",49.7 mph (80.0 km/h),Operating,Vekoma,SLC (689m Standard),109.0 ft (33.2 m),lift,,,,Steel,2004-04-10,49.7,,5
Thunderhead (roller coaster),"3,230 ft (980 m)",53.7 mph (86.4 km/h),Operating,Great Coasters International,,100.4 ft (30.6 m),lift,,Mike Boodley,Twister roller coaster,Wood,2004-04-03,53.7,,0
Time Warp (roller coaster),"390.99 m (1,282.8 ft)",41.4 km/h (25.7 mph),Operating,Zamperla,,15.3 m (50 ft),lift,,Ingenieur Büro Stengel GmbH,,Steel,2004-05-02,25.7,50.2,2
Fairly Odd Coaster (Carowinds),"1,356 ft (413 m)",36 mph (58 km/h),Operating,Philadelphia Toboggan Coasters,144a,40 ft (12 m),lift,,John C. Allen,,Wood,1975-01-01,36.0,,0
Hydra the Revenge,"3,198 ft (975 m)",53 mph (85 km/h),Operating,Bolliger & Mabillard,Floorless Coaster,95 ft (29 m),lift,,Werner Stengel,Twister,Steel,2005-05-07,53.0,,7
Kingda Ka,"3,118 ft (950 m)",128 mph (206 km/h),Operating,Intamin,Accelerator Coaster,456 ft (139 m),launch,,Werner Stengel,,Steel,2005-05-21,128.0,,0
Rita (roller coaster),"640 m (2,100 ft)",98.3 km/h (61.1 mph),Operating,Intamin,Accelerator Coaster,18.4 m (60 ft),launch,4.7,Werner Stengel,Twister,Steel,2005-04-01,61.1,60.4,0
SheiKra,"3,188 ft (972 m)",70 mph (110 km/h),Operating,Bolliger & Mabillard,Dive Coaster,200 ft (61 m),lift,4[1],,Twister,Steel,2005-05-21,70.0,,1
Space Mountain: Mission 2,"3,281 ft (1,000 m)",44 mph (71 km/h),Operating,Vekoma,,105 ft (32 m),launch,,Walt Disney ImagineeringWerner Stengel,,Steel,2017-05-07,44.0,,3
Superman Escape,"760 m (2,490 ft)",100 km/h (62 mph),Operating,Intamin,Accelerator Coaster,40 m (130 ft),launch,4.2 & -1,Werner Stengel,Custom,Steel,2005-12-26,62.1,131.2,0
Black Mamba (roller coaster),"2,519 ft (768 m)",49.7 mph (80.0 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,85.3 ft (26.0 m),lift,4G,,,Steel,2006-05-24,49.7,,4
Eejanaika (roller coaster),"3,782.83 ft (1,153.01 m)",78.3 mph (126.0 km/h),Operating,S&S Arrow,4th Dimension Coaster,249.33 ft (76.00 m),lift,,Alan Schilke,,Steel,2006-07-19,78.3,,3
Expedition Everest,"3,884.5 ft (1,184.0 m)",50 mph (80 km/h),Operating,Vekoma,Custom,199 ft (61 m),lift,3.0,Walt Disney Imagineering,Custom,Other,2006-04-07,50.0,,0
Fairly Odd Coaster (Kings Island),"1,350 ft (410 m)",35 mph (56 km/h),Operating,Philadelphia Toboggan Coasters,,38.6 ft (11.8 m),lift,,John C. Allen,Figure Eight,Wood,1972-01-01,35.0,,0
Goliath (Six Flags Over Georgia),"4,480 ft (1,370 m)",70 mph (113 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,200 ft (61 m),lift,,,Out and Back,Steel,2006-04-01,70.0,,0
Goliath (La Ronde),"4,038.8 ft (1,231.0 m)",68.4 mph (110.1 km/h),Operating,Bolliger & Mabillard,Hyper Coaster,174.8 ft (53.3 m),lift,,,Out and back,Steel,2006-05-13,68.4,,0
Kumali,"2,202.75 ft (671.40 m)",54.9 mph (88.4 km/h),Operating,Vekoma,SLC Shenlin design,117.75 ft (35.89 m),lift,4.7,,,Steel,2006-01-01,54.9,,4
Patriot (Worlds of Fun),"3,081 ft (939 m)",60 mph (97 km/h),Operating,Bolliger & Mabillard,Inverted Coaster,149 ft (45 m),lift,,,Twister,Steel,2006-04-08,60.0,,4
Speed Monster,"2,264 ft (690 m)",55.9 mph (90.0 km/h),Operating,Intamin,Accelerator coaster,131 ft (40 m),launch,4,Stengel Engineering,,Steel,2006-04-23,55.9,,3
Speed: No Limits,"1,970 ft (600 m)",59 mph (95 km/h),Operating,Gerstlauer,,115 ft (35 m),lift,4.5,Werner Stengel,Steel,Steel,2006-04-13,59.0,,2
Stealth (roller coaster),"400.0 m (1,312.3 ft)",80 mph (129 km/h),Operating,Intamin,Accelerator Coaster,62.5 m (205 ft),launch,,Werner Stengel,,Steel,2006-03-15,80.0,205.1,0
Tatsu,"3,602 ft (1,098 m)",62 mph (100 km/h),Operating,Bolliger & Mabillard,Flying Coaster,170 ft (52 m),lift,,,Terrain,Steel,2006-05-13,62.0,,4
The Voyage (roller coaster),"6,442 ft (1,964 m)",67 mph (108 km/h),Operating,The Gravity Group,,159 ft (48 m),lift,,"Mike Graham, Korey Kiepert, Larry Bill, Chad Miller, Will Koch",Out and Back,Wood,2006-05-06,67.0,,0
Boardwalk Bullet,"3,236 ft (986 m)",51 mph (82 km/h),Operating,Martin & Vleminckx,,96 ft (29 m),lift,3.5,"The Gravity Group, LLC",,Wood,2007-08-31,51.0,,0
De Vliegende Hollander,"420 m (1,380 ft)",69 km/h (43 mph),Operating,Kumbak,,18 m (59 ft),lift,0.2-2,Karel Willemen,Water Coaster,Steel,2007-04-01,42.9,59.1,0
Formule X,"1,150 ft (350 m)",45 mph (72 km/h),Operating,Maurer AG,XL 1000,50 ft (15 m),launch,,,,Steel,2007-04-06,45.0,,2
Furius Baco,"2,788.75 ft (850.01 m)",83.9 mph (135.0 km/h),Operating,Intamin,Wing Rider Coaster Accelerator Coaster,46 ft (14 m),launch,4.7,Werner Stengel,,Steel,2007-06-05,83.9,,1
Galaxy Orbiter,"455 m (1,493 ft)",40 km/h (25 mph),Operating,Gerstlauer,Sit down,45 m (148 ft),lift,3.26 G,Ingenieurbüro Stengel GmbH,Indoor,Steel,2007-07-17,24.9,147.6,0
Griffon (roller coaster),"3,108 ft (947 m)",71 mph (114 km/h),Operating,Bolliger & Mabillard,Dive Coaster,205 ft (62 m),lift,4,,Twister,Steel,2007-05-18,71.0,,2
Hollywood Dream – The Ride,"1,200 m (3,900 ft)",90 km/h (56 mph),Operating,Bolliger & Mabillard,Hyper Coaster,44 m (144 ft),lift,,Universal Creative,,Steel,2007-03-09,55.9,144.4,0
Journey to Atlantis,,,Operating,Mack Rides,Water Coaster,,lift,,,Water Coaster,Steel,1998-04-17,,,0
Maverick (roller coaster),"4,450 ft (1,360 m)",70 mph (110 km/h),Operating,Intamin,Blitz Coaster,105 ft (32 m),launch,,Werner Stengel,,Steel,2007-05-26,70.0,,2
Mick Doohan's Motocoaster,"605 m (1,985 ft)",72 km/h (45 mph),Operating,Intamin,Family MotorBike Launch Coaster,7 m (23 ft),launch,,,,Steel,2007-09-30,44.7,23.0,0
Mystery Mine,"1,804.5 ft (550.0 m)",43.5 mph (70.0 km/h),Operating,Gerstlauer,Euro-Fighter (Custom),85.3 ft (26.0 m),lift,,Werner Stengel,Terrain,Steel,2007-04-13,43.5,,2
Renegade (roller coaster),"3,113 ft (949 m)",51.3 mph (82.6 km/h),Operating,Great Coasters International,,97.5 ft (29.7 m),lift,3.9,,"Out and Back, Twister",Wood,2007-05-12,51.3,,0
Surfrider,70 m (230 ft),,Operating,Intamin,Half Pipe Roller Coaster,30 m (98 ft),launch,,Ing.-Büro Stengel GmbH,,Steel,2007-09-01,,98.4,0
Troy (roller coaster),"1,077.2 m (3,534 ft)",86.9 km/h (54.0 mph),Operating,Great Coasters International,,31.9 m (105 ft),lift,2.4[2],,,Wood,2007-06-29,54.0,104.7,0
